Rank,Name,Platform,Year,Genre
1,Wii Sports,Wii,2006,Sports
2,Super Mario Bros.,NES,1985,Platform
3,Mario Kart Wii,Wii,2008,Racing
4,Wii Sports Resort,Wii,2009,Sports
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing
6,Tetris,GB,1989,Puzzle
7,New Super Mario Bros.,DS,2006,Platform
8,Wii Play,Wii,2006,Misc
9,New Super Mario Bros. Wii,Wii,2009,Platform
10,Duck Hunt,NES,1984,Shooter
11,Nintendogs,DS,2005,Simulation
12,Mario Kart DS,DS,2005,Racing
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing
14,Wii Fit,Wii,2007,Sports
15,Wii Fit Plus,Wii,2009,Sports
16,Kinect Adventures!,X360,2010,Misc
17,Grand Theft Auto V,PS3,2013,Action
18,Grand Theft Auto: San Andreas,PS2,2004,Action
19,Super Mario World,SNES,1990,Platform
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing
22,Super Mario Land,GB,1989,Platform
23,Super Mario Bros. 3,NES,1988,Platform
24,Grand Theft Auto V,X360,2013,Action
25,Grand Theft Auto: Vice City,PS2,2002,Action
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle
29,Gran Turismo 3: A-Spec,PS2,2001,Racing
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing
32,Call of Duty: Black Ops,X360,2010,Shooter
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing
34,Call of Duty: Black Ops 3,PS4,2015,Shooter
35,Call of Duty: Black Ops II,PS3,2012,Shooter
36,Call of Duty: Black Ops II,X360,2012,Shooter
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter
39,Grand Theft Auto III,PS2,2001,Action
40,Super Smash Bros. Brawl,Wii,2008,Fighting
41,Call of Duty: Black Ops,PS3,2010,Shooter
42,Animal Crossing: Wild World,DS,2005,Simulation
43,Mario Kart 7,3DS,2011,Racing
44,Halo 3,X360,2007,Shooter
45,Grand Theft Auto V,PS4,2014,Action
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action
47,Super Mario 64,N64,1996,Platform
48,Gran Turismo 4,PS2,2004,Racing
49,Super Mario Galaxy,Wii,2007,Platform
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure
52,Grand Theft Auto IV,X360,2008,Action
53,Gran Turismo,PS,1997,Racing
54,Super Mario 3D Land,3DS,2011,Platform
55,Gran Turismo 5,PS3,2010,Racing
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter
57,Grand Theft Auto IV,PS3,2008,Action
58,Super Mario All-Stars,SNES,1993,Platform
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing
60,Super Mario 64,DS,2004,Platform
61,Just Dance 3,Wii,2011,Misc
62,Call of Duty: Ghosts,X360,2013,Shooter
63,Halo: Reach,X360,2010,Shooter
64,Mario Kart 64,N64,1996,Racing
65,New Super Mario Bros. 2,3DS,2012,Platform
66,Halo 4,X360,2012,Shooter
67,Final Fantasy VII,PS,1997,Role-Playing
68,Call of Duty: Ghosts,PS3,2013,Shooter
69,Just Dance 2,Wii,2010,Misc
70,Gran Turismo 2,PS,1999,Racing
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter
72,Donkey Kong Country,SNES,1994,Platform
73,Minecraft,X360,2013,Misc
74,Animal Crossing: New Leaf,3DS,2012,Simulation
75,Mario Party DS,DS,2007,Misc
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing
77,Super Mario Kart,SNES,1992,Racing
78,FIFA 16,PS4,2015,Sports
79,Wii Party,Wii,2010,Misc
80,Halo 2,XB,2004,Shooter
81,Mario Party 8,Wii,2007,Misc
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing
83,FIFA Soccer 13,PS3,2012,Action
84,The Sims 3,PC,2009,Simulation
85,GoldenEye 007,N64,1997,Shooter
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports
87,Final Fantasy X,PS2,2001,Role-Playing
88,Final Fantasy VIII,PS,1999,Role-Playing
89,Pokémon Platinum Version,DS,2008,Role-Playing
90,Pac-Man,2600,1982,Puzzle
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action
92,Super Mario Galaxy 2,Wii,2010,Platform
93,Star Wars Battlefront (2015),PS4,2015,Shooter
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform
97,Super Mario Bros. 2,NES,1988,Platform
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting
99,Call of Duty: World at War,X360,2008,Shooter
100,Battlefield 3,X360,2011,Shooter
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action
102,Call of Duty: Black Ops 3,XOne,2015,Shooter
103,Just Dance,Wii,2009,Misc
104,Battlefield 3,PS3,2011,Shooter
105,Need for Speed Underground,PS2,2003,Racing
106,Tekken 3,PS,1998,Fighting
107,Crash Bandicoot 3: Warped,PS,1998,Platform
108,Super Smash Bros. Melee,GC,2001,Fighting
109,Mario Kart 8,WiiU,2014,Racing
110,Fallout 4,PS4,2015,Role-Playing
111,Mario Kart: Double Dash!!,GC,2003,Racing
112,Just Dance 4,Wii,2012,Misc
113,FIFA 14,PS3,2013,Sports
114,Need for Speed Underground 2,PS2,2004,Racing
115,Medal of Honor: Frontline,PS2,2002,Shooter
116,Uncharted 3: Drake's Deception,PS3,2011,Action
117,Crash Bandicoot,PS,1996,Platform
118,Zumba Fitness,Wii,2010,Sports
119,Gears of War 2,X360,2008,Shooter
120,Uncharted 2: Among Thieves,PS3,2009,Action
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter
122,FIFA 12,PS3,2011,Sports
123,Big Brain Academy,DS,2005,Misc
124,Red Dead Redemption,PS3,2010,Action
125,FIFA 15,PS4,2014,Sports
126,Donkey Kong Country Returns,Wii,2010,Platform
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing
128,The Legend of Zelda,NES,1986,Action
129,Assassin's Creed III,PS3,2012,Action
130,Halo: Combat Evolved,XB,2001,Shooter
131,Pokémon Emerald Version,GBA,2004,Role-Playing
132,Kingdom Hearts,PS2,2002,Role-Playing
133,Pokémon Crystal Version,GB,2000,Role-Playing
134,Halo 3: ODST,X360,2009,Shooter
135,Red Dead Redemption,X360,2010,Action
136,Super Mario Sunshine,GC,2002,Platform
137,Street Fighter II: The World Warrior,SNES,1992,Fighting
138,World of Warcraft,PC,2004,Role-Playing
139,Driver,PS,1999,Action
140,Kinect Sports,X360,2010,Sports
141,Gears of War 3,X360,2011,Shooter
142,Gears of War,X360,2006,Shooter
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action
144,Sonic the Hedgehog 2,GEN,1992,Platform
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action
146,Metal Gear Solid,PS,1998,Action
147,The Last of Us,PS3,2013,Action
148,Final Fantasy XII,PS2,2006,Role-Playing
149,LittleBigPlanet,PS3,2008,Platform
